Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
47,10,1972.86,19712.5,488,4880,240.2,2402,247.8,2478,50.7787,50.7787,,38641,,1.08639,2.41918,0.871151,2936.15,3954.13,80.3592,68.7488,5.73,4.75,313.71,324.724,75.7803,0d 1h 15m 46s
48,10,1825.87,18250.9,488,4880,222.3,2223,265.7,2657,54.4467,54.4467,,57949,,1.10622,2.41875,0.870236,1666.28,3134.14,50.5941,38.2652,5.41,3.95,180.828,182.18,75.7915,0d 1h 15m 47s
49,10,2365.49,23636,488,4880,288,2880,200,2000,40.9836,40.9836,,61344,,1.14153,2.32238,0.870956,1945.07,3747.04,51.145,33.0896,4.39,2.85,214.311,215.156,73.3983,0d 1h 13m 23s
50,10,2575.75,25736.3,488,4880,313.6,3136,174.4,1744,35.7377,35.7377,,49281,,1.14897,1.83878,0.871108,1433.56,3572.87,26.3593,22.4815,3,2.85,117.733,134.704,73.0633,0d 1h 13m 3s
51,10,2565.08,25631.5,488,4880,312.3,3123,175.7,1757,36.0041,36.0041,,19885,,1.12738,2.1287,0.870846,1408.02,2895.75,26.0384,24.6202,4.98,4.05,116.928,121.475,74.6192,0d 1h 14m 37s
52,10,2586.41,25844.4,488,4880,314.9,3149,173.1,1731,35.4713,35.4713,,52150,,1.19187,2.41887,0.87118,1579.56,3483.77,28.1956,27.2211,3.59,3.75,125.541,149.858,69.1444,0d 1h 9m 8s
53,10,2296.43,22942.2,488,4880,279.6,2796,208.4,2084,42.7049,42.7049,,42318,,1.09121,2.51591,0.871136,1372.58,3270.66,31.1463,29.2119,4.045,3.75,128.318,137.606,75.9692,0d 1h 15m 58s
54,10,2042.69,20407.9,488,4880,248.7,2487,239.3,2393,49.0369,49.0369,,4016,,1.09681,3.28957,1.83831,2229.14,4142.51,36.9132,36.1448,5.2,4.75,185.399,206.367,75.9611,0d 1h 15m 57s
55,10,2309.61,23075.9,488,4880,281.2,2812,206.8,2068,42.377,42.377,,22406,,1.09825,2.90278,0.870585,1835.96,3682.14,37.3121,32.0353,4.8,4.75,164.218,183.204,77.2339,0d 1h 17m 14s
56,10,2254.6,22524.9,488,4880,274.5,2745,213.5,2135,43.75,43.75,,20999,,1.09134,2.70914,0.871034,2314.28,5386.67,45.165,42.3327,4.585,4.75,207.03,245.061,77.3846,0d 1h 17m 23s
57,10,2555.99,25537.5,488,4880,311.2,3112,176.8,1768,36.2295,36.2295,,15752,,1.15224,2.51274,0.843976,1358.17,2494.26,26.1701,24.9256,3.69,3.75,113.048,124.575,71.6435,0d 1h 11m 38s
