Rng Run, Number of Flows, Throughput [bps],, Tx Packets,, Rx Packets,, Lost Packets,, Lost Ratio [%],, PHY Tx Packets,, Useful Traffic Ratio [%],,E2E Delay Min [ms],, E2E Delay Max [ms],, E2E Delay Average [ms],, E2E Delay Median Estimate [ms],, E2E Delay Jitter [ms],, Sim. Duration
, , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg, all flows avg, all packets avg  , all flows avg, all packets avg, all packets avg, all packets avg, [min], [day hour min sec]
66,10,3893.22,38870.9,282,2820,273.5,2735,8.5,85,3.01418,3.01418,,53753,,20.0595,2.41886,0.871355,437.584,2025.33,4.5889,4.65278,2.44,2.85,26.4932,45.4592,0.369547,0d 0h 0m 22s
67,10,3911.7,39072.3,282,2820,274.8,2748,7.2,72,2.55319,2.55319,,56715,,17.3563,3.09132,0.871108,625.268,1659.35,6.48491,6.55924,3.1,3.75,39.6096,55.3686,0.46565,0d 0h 0m 27s
68,10,4002.82,39975.6,282,2820,281.2,2812,0.8,8,0.283688,0.283688,,44731,,18.319,3.09596,0.870931,629.935,1267.3,6.02593,6.02945,3.44,3.75,37.6606,47.8957,0.295096,0d 0h 0m 17s
69,10,3992.83,39877.9,282,2820,280.5,2805,1.5,15,0.531915,0.531915,,54712,,17.6357,2.80594,0.870684,630.567,1666,6.2272,6.22458,3.01,2.85,38.5431,51.7075,0.360458,0d 0h 0m 21s
70,10,4001.41,39971.1,282,2820,281.1,2811,0.9,9,0.319149,0.319149,,41359,,22.7956,2.32242,0.871016,533.863,1250.05,4.76929,4.7708,2.43,2.85,32.3054,41.4853,0.321039,0d 0h 0m 19s
71,10,3990.01,39866.2,282,2820,280.3,2803,1.7,17,0.602837,0.602837,,47894,,20.4609,2.60794,0.87097,416.955,1259.48,4.63482,4.61192,2.62,2.85,25.3305,36.9488,0.322222,0d 0h 0m 19s
72,10,4005.67,39997.3,282,2820,281.4,2814,0.6,6,0.212766,0.212766,,34028,,25.1771,2.32218,0.870684,205.722,673.511,3.12943,3.12885,2.33,2.85,12.2463,19.3785,0.234958,0d 0h 0m 14s
73,10,3972.93,39682,282,2820,279.1,2791,2.9,29,1.02837,1.02837,,2405,,18.0844,2.31888,0.870652,264.857,1053.91,4.47289,4.47492,2.34,2.85,17.8802,28.0047,0.564692,0d 0h 0m 33s
74,10,3985.74,39794.6,282,2820,280,2800,2,20,0.70922,0.70922,,63255,,16.3877,3.09398,0.848582,594.031,1251.1,7.25332,7.25215,3.29,3.75,41.8077,54.2942,0.439561,0d 0h 0m 26s
75,10,3968.68,39618.8,282,2820,278.8,2788,3.2,32,1.13475,1.13475,,45832,,21.3319,2.51554,0.87089,287.46,1252.4,3.92848,3.93806,2.52,2.85,17.3727,27.3602,0.310712,0d 0h 0m 18s
76,10,4001.38,39953.4,282,2820,281.1,2811,0.9,9,0.319149,0.319149,,48443,,19.5732,2.80593,0.870982,529.653,1680.87,5.36305,5.36264,2.81,2.85,32.3307,44.9219,0.330418,0d 0h 0m 19s
77,10,3977.21,39716.6,282,2820,279.4,2794,2.6,26,0.921986,0.921986,,4326,,16.5756,2.32212,0.870705,611.503,1670.16,6.6304,6.61705,2.66,2.85,38.1126,53.909,0.457984,0d 0h 0m 27s
78,10,3715.28,37104.2,282,2820,261,2610,21,210,7.44681,7.44681,,44826,,22.0397,2.41848,1.8378,148.074,284.877,3.26136,3.33469,2.53,2.85,9.12889,11.9937,0.271924,0d 0h 0m 16s
